email,date,sender,recipient,subject,labels
7d79999d-f6cd-4202-a372-0b315564a9e3,2024-03-13 18:31:50,qanderson@example.net,john.doe@personal.com,Weekend plans?,Personal
f43624d0-b072-4777-b4c3-e9b9818f600a,2024-03-08 18:31:50,john.doe@personal.com,ambergray@example.com,Catching up,Personal
265d4d87-3183-4f3e-940c-ad38b25bbb4d,2024-03-27 18:31:50,john.doe@personal.com,wileymichelle@example.com,"Project Update - Johnson, Barnes and Cameron",Work
76fba86c-9559-410f-9dd7-c437f5fbebc4,2024-03-05 18:31:50,jason79@example.com,john.doe@personal.com,Catching up,Personal
daa6043b-7f23-4570-9473-ef88cdabc11c,2024-03-29 18:31:50,danielleadams@example.net,john.doe@personal.com,Limited Time Deal: innovate strategic networks,Spam
bd6df811-8df2-4442-94d7-c61ea3b47d85,2024-03-26 18:31:50,john.doe@personal.com,codybarber@example.net,Meeting Request: Either adult drug.,Work
77dcd3d9-65cc-4e3d-b884-bf6b8ad9686d,2024-03-12 18:31:50,nataliekramer@example.net,john.doe@personal.com,Meeting Request: Develop young test.,Work
5771e247-a780-4979-8292-becdaeef8bc9,2024-03-24 18:31:50,teresasmith@example.net,john.doe@personal.com,Limited Time Deal: extend distributed eyeballs,Spam
2b986e9c-04c3-47da-934a-99f6e1de6026,2024-02-29 18:31:50,stephanieroberts@example.org,john.doe@personal.com,Project Update - Arellano-Ramirez,Work
56ce41d1-cf02-424d-8063-d58b6e7be5bd,2024-03-07 18:31:50,graceanderson@example.com,john.doe@personal.com,"Win a Prize: Clark, Hamilton and Gonzales",Spam
e3386029-dbca-4367-aa52-5f6f122043a5,2024-03-08 18:31:50,erichill@example.com,john.doe@personal.com,"Project Update - Scott, Rogers and Moore",Work
02e4cd13-15b9-439d-83d2-50d142d9d4e3,2024-03-06 18:31:50,johnhenry@example.com,john.doe@personal.com,"Project Update - Mcgee, Jackson and Marks",Work
a67c4450-eac0-4b43-87c0-0486d00e0981,2024-03-28 18:31:50,wcopeland@example.net,john.doe@personal.com,Limited Time Deal: productize killer web-readiness,Spam
e80e43c3-32ed-4874-ab1d-6fac73a361aa,2024-03-02 18:31:50,dshepherd@example.net,john.doe@personal.com,Meeting Request: Huge beyond teacher.,Work
7602981a-7963-4d6f-b469-49028f7c1d92,2024-03-17 18:31:50,john.doe@personal.com,davidhogan@example.net,Project Update - Woodard and Sons,Work
b97f5486-13e8-426d-9684-6a388d51ffab,2024-03-19 18:31:50,thompsonsean@example.net,john.doe@personal.com,Meeting Request: Statement half add.,Work
82e03cd2-23a0-4d6e-8b6c-1a98f8fff050,2024-03-05 18:31:50,kimberly24@example.org,john.doe@personal.com,Limited Time Deal: transition visionary eyeballs,Spam
d0ec20e3-78e5-4fca-bf2b-69b2f71b9243,2024-03-04 18:31:50,john.doe@personal.com,renee92@example.net,How are you?,Personal
9de45f74-88b4-4e99-aed7-abdcc3febaf6,2024-03-28 18:31:50,mccannnicole@example.org,john.doe@personal.com,Exclusive Offer: Triple-buffered composite info-mediaries,Spam
d128812a-9995-4921-ac5e-7e456234c8d9,2024-03-07 18:31:50,josephwalton@example.net,john.doe@personal.com,"Client Feedback: Campbell, Reid and Klein",Work
629aeae2-b9ba-4708-a5cc-43e35fe209a8,2024-03-02 18:31:50,john.doe@personal.com,phull@example.org,How are you?,Personal
1c64748b-9cd7-43f7-b983-220824c60645,2024-03-03 18:31:50,john.doe@personal.com,sabrinawalters@example.net,"Project Update - Elliott, Nelson and Wilson",Work
2a172015-d301-4b3c-88d6-88260bdc46c1,2024-03-29 18:31:50,taraarcher@example.com,john.doe@personal.com,Project Update - Winters Inc,Work
80b08b2e-5ec6-43a0-9d63-1be6e1ed5ef7,2024-03-08 18:31:50,josephwalton@example.net,john.doe@personal.com,Project Update - Garcia LLC,Work
3986ceb4-6a54-446d-96a3-dcb7b477ac97,2024-03-07 18:31:50,john.doe@personal.com,taraarcher@example.com,Client Feedback: Miller LLC,Work
9cd4f584-1911-44c0-ac4c-3fe923ab2541,2024-02-28 18:31:50,john.doe@personal.com,ebuck@example.org,Task Status: Animator,Work
b03eafb2-4bae-427d-b93a-2c1bdb6f7cdb,2024-03-10 18:31:50,ereese@example.org,john.doe@personal.com,Project Update - Gibbs-Wolfe,Work
e6bbf0a2-4116-4402-8638-2cdb0f7054db,2024-03-27 18:31:50,david78@example.com,john.doe@personal.com,Win a Prize: Gallagher-Carter,Spam
e20ceb58-8e9d-41e8-a8f7-09e78e19cdc7,2024-03-24 18:31:50,john.doe@personal.com,pboyer@example.net,Task Status: Gaffer,Work
81a321b1-d1ba-49b9-85de-346a0401d906,2024-02-28 18:31:50,thompsonsean@example.net,john.doe@personal.com,Client Feedback: Simmons-Wyatt,Work
